Start date,End date,Belgium [€/MWh] Original resolutions
Feb 10, 2022 1:00 AM,192.61
Feb 10, 2022 2:00 AM,185.1
Feb 10, 2022 3:00 AM,172.23
Feb 10, 2022 4:00 AM,172.91
Feb 10, 2022 5:00 AM,174.88
Feb 10, 2022 6:00 AM,203.67
Feb 10, 2022 7:00 AM,233.46
Feb 10, 2022 8:00 AM,240.32
Feb 10, 2022 9:00 AM,225.56
Feb 10, 2022 10:00 AM,199.99
Feb 10, 2022 11:00 AM,193.67
Feb 10, 2022 12:00 PM,169.97
Feb 10, 2022 1:00 PM,167.9
Feb 10, 2022 2:00 PM,176.35
Feb 10, 2022 3:00 PM,184.55
Feb 10, 2022 4:00 PM,195.98
Feb 10, 2022 5:00 PM,215.77
Feb 10, 2022 6:00 PM,229.58
Feb 10, 2022 7:00 PM,212.49
Feb 10, 2022 8:00 PM,187.28
Feb 10, 2022 9:00 PM,179.37
Feb 10, 2022 10:00 PM,176.91
Feb 10, 2022 11:00 PM,136.66
Feb 11, 2022 12:00 AM,180.01
Feb 11, 2022 1:00 AM,176.73
Feb 11, 2022 2:00 AM,168.87
Feb 11, 2022 3:00 AM,164.09
Feb 11, 2022 4:00 AM,165
Feb 11, 2022 5:00 AM,171.3
Feb 11, 2022 6:00 AM,196.95
Feb 11, 2022 7:00 AM,221.46
Feb 11, 2022 8:00 AM,221.78
Feb 11, 2022 9:00 AM,179.53
Feb 11, 2022 10:00 AM,151.36
Feb 11, 2022 11:00 AM,135.02
Feb 11, 2022 12:00 PM,128.35
Feb 11, 2022 1:00 PM,133.68
Feb 11, 2022 2:00 PM,140.61
Feb 11, 2022 3:00 PM,168.15
Feb 11, 2022 4:00 PM,191.92
Feb 11, 2022 5:00 PM,220.57
Feb 11, 2022 6:00 PM,243.35
Feb 11, 2022 7:00 PM,241.18
Feb 11, 2022 8:00 PM,221.31
Feb 11, 2022 9:00 PM,213.13
Feb 11, 2022 10:00 PM,205.48
Feb 11, 2022 11:00 PM,190.1
Feb 12, 2022 12:00 AM,195.91
Feb 12, 2022 1:00 AM,187.2
Feb 12, 2022 2:00 AM,184.89
Feb 12, 2022 3:00 AM,170.24
Feb 12, 2022 4:00 AM,166
Feb 12, 2022 5:00 AM,162.45
Feb 12, 2022 6:00 AM,160.64
Feb 12, 2022 7:00 AM,162.56
Feb 12, 2022 8:00 AM,157.24
Feb 12, 2022 9:00 AM,121.8
Feb 12, 2022 10:00 AM,115.76
Feb 12, 2022 11:00 AM,121.27
Feb 12, 2022 12:00 PM,97.47
Feb 12, 2022 1:00 PM,87.12
Feb 12, 2022 2:00 PM,89.83
Feb 12, 2022 3:00 PM,116.85
Feb 12, 2022 4:00 PM,171.56
Feb 12, 2022 5:00 PM,194.89
Feb 12, 2022 6:00 PM,191.8
Feb 12, 2022 7:00 PM,140.88
Feb 12, 2022 8:00 PM,121.12
Feb 12, 2022 9:00 PM,104.74
Feb 12, 2022 10:00 PM,109.29
Feb 12, 2022 11:00 PM,101.7
Feb 13, 2022 12:00 AM,88.07
Feb 13, 2022 1:00 AM,98.65
Feb 13, 2022 2:00 AM,99.78
Feb 13, 2022 3:00 AM,99.14
Feb 13, 2022 4:00 AM,104.22
Feb 13, 2022 5:00 AM,99.91
Feb 13, 2022 6:00 AM,93.99
Feb 13, 2022 7:00 AM,88.55
Feb 13, 2022 8:00 AM,88.06
Feb 13, 2022 9:00 AM,60
Feb 13, 2022 10:00 AM,73.03
Feb 13, 2022 11:00 AM,67.23
Feb 13, 2022 12:00 PM,30.08
Feb 13, 2022 1:00 PM,43.25
Feb 13, 2022 2:00 PM,50.12
Feb 13, 2022 3:00 PM,81.78
Feb 13, 2022 4:00 PM,92.47
Feb 13, 2022 5:00 PM,115.71
Feb 13, 2022 6:00 PM,119.11
Feb 13, 2022 7:00 PM,92.33
Feb 13, 2022 8:00 PM,87.18
Feb 13, 2022 9:00 PM,81.39
Feb 13, 2022 10:00 PM,88.59
Feb 13, 2022 11:00 PM,63.23
Feb 14, 2022 12:00 AM,46.55
Feb 14, 2022 1:00 AM,13.33
Feb 14, 2022 2:00 AM,12.94
Feb 14, 2022 3:00 AM,13.78
Feb 14, 2022 4:00 AM,35.25
Feb 14, 2022 5:00 AM,87.91
Feb 14, 2022 6:00 AM,104.25
Feb 14, 2022 7:00 AM,117.19
Feb 14, 2022 8:00 AM,117.11
Feb 14, 2022 9:00 AM,98.58
Feb 14, 2022 10:00 AM,94.91
Feb 14, 2022 11:00 AM,95.89
Feb 14, 2022 12:00 PM,98.52
Feb 14, 2022 1:00 PM,104.18
Feb 14, 2022 2:00 PM,107.01
Feb 14, 2022 3:00 PM,114.51
Feb 14, 2022 4:00 PM,144.52
Feb 14, 2022 5:00 PM,184.58
Feb 14, 2022 6:00 PM,197.13
Feb 14, 2022 7:00 PM,167.3
Feb 14, 2022 8:00 PM,148.44
Feb 14, 2022 9:00 PM,115.49
Feb 14, 2022 10:00 PM,123.05
Feb 14, 2022 11:00 PM,110.94
Feb 15, 2022 12:00 AM,112.68
Feb 15, 2022 1:00 AM,114.82
Feb 15, 2022 2:00 AM,112.3
Feb 15, 2022 3:00 AM,118.28
Feb 15, 2022 4:00 AM,126.86
Feb 15, 2022 5:00 AM,152.72
Feb 15, 2022 6:00 AM,204.2
Feb 15, 2022 7:00 AM,234.06
Feb 15, 2022 8:00 AM,250.06
